Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,15.789,15.74,15.66,15.544,15.393,15.226,15.044,14.848,14.653,14.471,14.321,14.223,14.177,14.178,14.228,14.323,14.472,14.686,14.957,15.256,15.576,15.895,16.208,17.138,18.107,19.113,20.156,21.24,19.808,18.304,16.473
Afghanistan,AFG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,7.79188,..,..,..,..,..,..,..,..,..,..,..,..,..,14.40342,..,..,..,..,..,32.81661,33.15745,32.92914,33.81677,35.12171,36.69527,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,50.846,53.407,54.036,53.204,52.514,51.521,50.88,51.71,51.086,50.266,49.849,49.353,49.088,48.461,47.845,47.242,46.652,46.076,45.513,45.955,46.835,52.561,48.937,43.783,43.958,47.116,49.888,49.736,51.407,52.93,50.616
Albania,ALB,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,65.85455,67.42693,..,..,..,..,..,..,..,..,..,..,..,85.03466,86.5061,87.83338,87.37654,88.46079,89.1819,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416135130865,911.320465445326,1020.97618050188,728.545523729675,831.175344077295,1056.34481153033,1160.42047054038,1326.41652388077,1479.83884572006,1908.69900687608,2446.90949947798,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4222.3470988913,4420.23461988353,4602.23051443229,3981.72662261867,4168.37544462548,4614.0479692596,5365.48880180298,5460.4305086932,5370.77749956875
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,11.588,11.579,11.58,11.518,11.508,11.603,11.727,11.754,11.815,11.907,12.02,12.155,12.314,12.499,12.711,12.952,13.223,13.527,13.864,14.234,14.418,14.614,14.821,15.036,15.256,15.262,15.015,14.887,14.755,14.623,13.673
Algeria,DZA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,49.12656,49.95308,51.31181,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,25375810,25987928,26628568,27277048,27887279,28470191,29033044,29579301,30054133,30474354,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2445.18332740258,1759.11201648229,1802.69300801289,1831.04800976449,1525.54061760288,1466.94806760415,1616.83198721285,1628.76100561506,1603.36623200836,1596.11822239025,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,46640,47882,49038,50159,51251,52316,53353,54362,55334,56248,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,8972.69636535698,9197.66196836987,8958.42866697173,8831.26975996609,8745.16621137404,9231.37240924563,10030.8089130902,12156.0293905777,10375.1720141957,10383.459331451,11745.4899153958,11813.5022034589,12026.3344929488,12727.4102651386,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775
Andorra,AND,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,52597,56667,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,19563.6574722488,19533.2620668023,20099.5352208543,15916.8395162087,15748.5307503373,18443.2545197741,19130.1597151312,18247.9995651361,18536.5084282698,18875.286913398,21810.2487431414,23511.2951475737,26528.130158144,34063.5784034776,39021.1278101878,40829.801876968,43467.2109930745,48336.2283329823,49132.515707808,43975.0183668093,42746.8309526019,46657.1561173756,41500.5435791686,42470.3161159692,44369.659691379,38654.9347203095,40129.8192007698,40672.9943348258,42819.7745797624,41257.8045846483,37361.0900666982
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,75.607,75.572,75.54,75.513,75.492,75.481,75.48,75.486,75.498,75.513,75.531,75.551,75.57,75.589,75.606,75.618,75.626,75.631,75.631,75.626,75.621,74.865,74.633,74.401,74.167,73.933,73.698,73.461,73.224,72.985,72.731
Angola,AGO,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.564,9.04349,10.07569,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132
